trial_number,value,params
0,3.058626057317225,{'alpha': 0.27367579593406194}
1,3.0756384582724787,{'alpha': 0.21485341115554335}
2,3.137531114984699,{'alpha': 0.3566353051953635}
3,3.048622518866337,{'alpha': 0.13682516109345894}
4,3.1708278798703384,{'alpha': 0.19748469969984553}
5,3.008730689649667,{'alpha': 0.17040030367147888}
6,3.0610920821923653,{'alpha': 0.22935305246418972}
7,3.181647201523566,{'alpha': 0.1797249023429468}
8,3.083902416875931,{'alpha': 0.19584974439350583}
9,3.2711486855620318,{'alpha': 0.3923090191351385}
10,3.0879238554479422,{'alpha': 0.3198108236160798}
