trial_number,value,params
0,0.07864413197726017,"{'MaxIterations': 373, 'TabuSize': 65, 'ErrorTolerance': 0.00039380307889357334}"
1,0.13681977725830413,"{'MaxIterations': 178, 'TabuSize': 372, 'ErrorTolerance': 1.3163437558705058e-05}"
2,0.14649661622520224,"{'MaxIterations': 160, 'TabuSize': 338, 'ErrorTolerance': 0.00012566326743092764}"
3,0.07363733195513313,"{'MaxIterations': 248, 'TabuSize': 115, 'ErrorTolerance': 7.05795824618587e-05}"
4,0.22054884713040523,"{'MaxIterations': 129, 'TabuSize': 32, 'ErrorTolerance': 0.00031780125470258947}"
5,0.14955874960446752,"{'MaxIterations': 155, 'TabuSize': 729, 'ErrorTolerance': 0.0007798309289826419}"
6,0.06109077352179887,"{'MaxIterations': 429, 'TabuSize': 14, 'ErrorTolerance': 4.7657182449854915e-05}"
7,0.07443898392634289,"{'MaxIterations': 212, 'TabuSize': 277, 'ErrorTolerance': 0.03863984777512182}"
8,0.07592126129252345,"{'MaxIterations': 473, 'TabuSize': 127, 'ErrorTolerance': 3.432655295778018e-05}"
9,0.07953610132870509,"{'MaxIterations': 383, 'TabuSize': 119, 'ErrorTolerance': 0.012644243434548149}"
10,0.07361240148359584,"{'MaxIterations': 332, 'TabuSize': 63, 'ErrorTolerance': 0.0014085558996168857}"
11,0.2564390556862066,"{'MaxIterations': 118, 'TabuSize': 326, 'ErrorTolerance': 0.0016294807403585884}"
12,0.08124746950309339,"{'MaxIterations': 197, 'TabuSize': 503, 'ErrorTolerance': 0.00012289170921730882}"
13,0.061625140642253225,"{'MaxIterations': 406, 'TabuSize': 705, 'ErrorTolerance': 0.007411981378692848}"
14,0.05027294929984253,"{'MaxIterations': 258, 'TabuSize': 135, 'ErrorTolerance': 0.0003374306446014554}"
15,0.04061523853821188,"{'MaxIterations': 496, 'TabuSize': 552, 'ErrorTolerance': 0.006163638644028897}"
16,0.05705609406528035,"{'MaxIterations': 472, 'TabuSize': 143, 'ErrorTolerance': 0.0031165060161663814}"
17,0.06326731419688617,"{'MaxIterations': 470, 'TabuSize': 204, 'ErrorTolerance': 0.003658614425589888}"
18,0.033650615916761085,"{'MaxIterations': 348, 'TabuSize': 218, 'ErrorTolerance': 0.0020313451631578786}"
19,0.07309518105360444,"{'MaxIterations': 471, 'TabuSize': 209, 'ErrorTolerance': 0.0036349917655467013}"
20,0.0555695937020513,"{'MaxIterations': 278, 'TabuSize': 227, 'ErrorTolerance': 1.5167209841481674e-05}"
21,0.04539670373479775,"{'MaxIterations': 301, 'TabuSize': 218, 'ErrorTolerance': 0.005699736641963413}"
22,0.05984807501781079,"{'MaxIterations': 492, 'TabuSize': 517, 'ErrorTolerance': 0.002975003659516417}"
23,0.08600128831235873,"{'MaxIterations': 475, 'TabuSize': 495, 'ErrorTolerance': 0.07335162552773884}"
24,0.05624701096289376,"{'MaxIterations': 336, 'TabuSize': 493, 'ErrorTolerance': 0.09049198395039594}"
25,0.049109185495912,"{'MaxIterations': 349, 'TabuSize': 502, 'ErrorTolerance': 0.06867748044441202}"
26,0.05636462902219813,"{'MaxIterations': 321, 'TabuSize': 481, 'ErrorTolerance': 0.044954112750182657}"
27,0.07111200126251101,"{'MaxIterations': 318, 'TabuSize': 475, 'ErrorTolerance': 0.05240843474525068}"
28,0.07496677017910035,"{'MaxIterations': 357, 'TabuSize': 483, 'ErrorTolerance': 0.01551218073112624}"
29,0.06662302990626212,"{'MaxIterations': 303, 'TabuSize': 640, 'ErrorTolerance': 0.011502208888647258}"
30,0.05094083571488148,"{'MaxIterations': 296, 'TabuSize': 624, 'ErrorTolerance': 0.013935870908805492}"
