trial_number,value,params
0,0.7025514873800394,"{'MaxIterations': 480, 'TabuSize': 615, 'ErrorTolerance': 0.015415605354919655}"
1,0.7352145079339656,"{'MaxIterations': 500, 'TabuSize': 655, 'ErrorTolerance': 0.00023917713221350016}"
2,0.8975708828936104,"{'MaxIterations': 419, 'TabuSize': 115, 'ErrorTolerance': 0.00013938325525293506}"
3,1.1096634947288515,"{'MaxIterations': 173, 'TabuSize': 196, 'ErrorTolerance': 5.65679744934026e-05}"
4,0.6604000391144627,"{'MaxIterations': 398, 'TabuSize': 357, 'ErrorTolerance': 0.0002874502913360101}"
5,0.9588801357938035,"{'MaxIterations': 189, 'TabuSize': 659, 'ErrorTolerance': 0.00046157066384211535}"
6,1.2379841050982985,"{'MaxIterations': 146, 'TabuSize': 619, 'ErrorTolerance': 0.00048401258765541893}"
7,0.6972027436760015,"{'MaxIterations': 485, 'TabuSize': 662, 'ErrorTolerance': 9.206586188812709e-05}"
8,0.9488872293787319,"{'MaxIterations': 249, 'TabuSize': 596, 'ErrorTolerance': 2.315391871795031e-05}"
9,1.3665313646975479,"{'MaxIterations': 102, 'TabuSize': 291, 'ErrorTolerance': 0.006613362781732292}"
10,1.470221151721711,"{'MaxIterations': 101, 'TabuSize': 624, 'ErrorTolerance': 0.03864039933855043}"
11,1.2717548855520802,"{'MaxIterations': 133, 'TabuSize': 108, 'ErrorTolerance': 0.009351943055441977}"
12,0.7654450611478787,"{'MaxIterations': 400, 'TabuSize': 650, 'ErrorTolerance': 7.790344977051248e-05}"
13,0.895629614290385,"{'MaxIterations': 239, 'TabuSize': 39, 'ErrorTolerance': 0.00034097239298808515}"
14,0.8629986797875983,"{'MaxIterations': 269, 'TabuSize': 52, 'ErrorTolerance': 0.008997210763778766}"
15,0.7619117034860503,"{'MaxIterations': 367, 'TabuSize': 428, 'ErrorTolerance': 0.002787342586086563}"
16,0.6977993265361462,"{'MaxIterations': 381, 'TabuSize': 472, 'ErrorTolerance': 0.0030634163865180435}"
17,0.7712150183227119,"{'MaxIterations': 378, 'TabuSize': 449, 'ErrorTolerance': 0.001873952406366428}"
18,0.7517276959282662,"{'MaxIterations': 383, 'TabuSize': 444, 'ErrorTolerance': 0.001919257862746113}"
19,0.8383562196268527,"{'MaxIterations': 363, 'TabuSize': 422, 'ErrorTolerance': 0.002202392171245411}"
20,0.7997555786561736,"{'MaxIterations': 351, 'TabuSize': 434, 'ErrorTolerance': 1.0386938449182691e-05}"
21,0.8717716328637892,"{'MaxIterations': 330, 'TabuSize': 461, 'ErrorTolerance': 1.2351138137540382e-05}"
22,0.7954125071662155,"{'MaxIterations': 324, 'TabuSize': 346, 'ErrorTolerance': 1.8362636463818235e-05}"
23,0.778788800231536,"{'MaxIterations': 451, 'TabuSize': 313, 'ErrorTolerance': 1.618922776298001e-05}"
24,0.7499617558372885,"{'MaxIterations': 438, 'TabuSize': 746, 'ErrorTolerance': 1.731090451803116e-05}"
25,0.8160067344966269,"{'MaxIterations': 452, 'TabuSize': 739, 'ErrorTolerance': 4.599308378002429e-05}"
26,0.6979886438568583,"{'MaxIterations': 449, 'TabuSize': 302, 'ErrorTolerance': 0.0008312633764239624}"
27,0.73643884741382,"{'MaxIterations': 461, 'TabuSize': 524, 'ErrorTolerance': 0.0010184861467810195}"
28,0.7684698166494967,"{'MaxIterations': 445, 'TabuSize': 716, 'ErrorTolerance': 5.9002457264810836e-05}"
29,0.7615549308756505,"{'MaxIterations': 442, 'TabuSize': 538, 'ErrorTolerance': 0.0007941589821432907}"
30,0.7734481909299571,"{'MaxIterations': 456, 'TabuSize': 541, 'ErrorTolerance': 0.0008936229656280359}"
