Trial Number,Value,MaxIterations,TabuSize,numDesireSolution,ErrorTolerance,Average Objective Value
0,79022.06480911918,119,49,25,0.023349158707202774,9877.758101139898
1,68548.39125675515,125,46,96,0.011724495419570574,8568.548907094393
2,73809.45438998014,223,47,26,0.016853045105201175,9226.181798747517
3,89458.2054311879,183,11,11,0.026888118125406216,11182.275678898488
4,60634.26559521685,390,9,74,2.0766267053385056e-05,7579.283199402106
5,67608.84995829454,149,6,80,0.00015231044911831343,8451.106244786817
6,61786.15336070061,293,50,76,0.0026157880336693876,7723.269170087577
7,61547.31609742734,271,15,73,0.005011728372174817,7693.414512178418
8,63564.66915995091,216,43,96,0.026785972724894302,7945.583644993863
9,63044.489306593496,380,34,62,0.03409287136845821,7880.561163324187
10,63087.03122382643,478,22,47,1.3419906327854007e-05,7885.878902978304
