Trial Number,Value,MaxIterations,TabuSize,numDesireSolution,ErrorTolerance,Average Objective Value
0,67459.35079698924,246,27,52,0.0014799251328165462,8432.418849623655
1,63061.632845525935,303,8,76,0.00018007842327891885,7882.704105690742
2,71992.14256798767,128,43,46,0.00010943156730739414,8999.017820998459
3,75378.16898361022,465,16,16,2.6282838602971777e-05,9422.271122951277
4,76374.2788898575,81,49,44,0.002426269719152473,9546.784861232187
5,70740.6904837446,417,18,24,0.08923414248280047,8842.586310468076
6,67510.71321980914,295,35,33,0.03210067690556417,8438.839152476143
7,63550.96371355217,362,47,88,4.988905595412393e-05,7943.870464194021
8,68195.49113887257,256,27,40,0.0015401040604402102,8524.436392359072
9,68143.30506453727,102,49,82,0.00013957057793532353,8517.913133067159
10,65925.02430112816,194,5,72,0.009582724026591643,8240.62803764102
