Trial Number,Value,MaxIterations,TabuSize,numDesireSolution,ErrorTolerance,Average Objective Value
0,0.6810425189277893,403,45,78,4.5709073494414675e-05,0.08513031486597367
1,0.5311115109124969,221,7,12,0.00032814804782264743,0.06638893886406211
2,0.580269674814938,63,25,76,0.000152009002689628,0.07253370935186725
3,0.5859160344929161,495,15,17,0.0005404470754713821,0.07323950431161451
4,0.6650757866588911,468,19,45,0.015321779088383685,0.08313447333236139
5,0.6543750052919894,281,16,59,0.00012338359168255275,0.08179687566149868
6,0.5822601404462502,99,39,37,4.91872535595372e-05,0.07278251755578127
7,0.629937187055528,120,22,79,0.043428629924571006,0.078742148381941
8,0.6419026968082391,156,11,71,6.174940138902776e-05,0.08023783710102989
9,0.6396658148641072,227,35,43,0.0029275216598108407,0.0799582268580134
10,0.6735643219203961,309,6,100,1.2834179878627697e-05,0.08419554024004951
11,0.4151257253533431,60,29,11,0.0003804366306360342,0.051890715669167885
12,0.4898207896604072,186,31,10,0.0011921405145402593,0.0612275987075509
13,0.5787776226625401,178,31,25,0.0026687986656745055,0.07234720283281751
14,0.4968698533147307,70,30,24,0.001983282293006626,0.06210873166434134
15,0.6173179271917428,332,40,31,0.010562165423049892,0.07716474089896785
16,0.5144556519481736,149,27,12,0.0013587455554063931,0.0643069564935217
17,0.6418522773762144,216,48,56,0.0005748862670176472,0.0802315346720268
18,0.6008648260653673,364,36,23,0.006312862810065991,0.07510810325817091
19,0.5638576584623288,97,33,33,0.05819916493356567,0.0704822073077911
20,0.5154223868824506,50,23,46,1.0915750779155276e-05,0.06442779836030632
21,0.522593759207178,80,30,21,0.0014776307752387583,0.06532421990089725
22,0.486689586743822,132,30,11,0.00027215192517822146,0.06083619834297775
23,0.5038514088822287,190,40,10,0.00026921400422902776,0.06298142611027858
24,0.5300783116597667,135,26,16,0.000758844962095436,0.06625978895747084
25,0.6170059687788879,256,21,29,0.00019758217233047405,0.07712574609736099
26,0.5452147951314033,177,36,18,9.237017747967585e-05,0.0681518493914254
27,0.4757186810251027,117,44,10,2.5188608355706807e-05,0.059464835128137834
28,0.5923712144859503,112,50,38,2.5583355254167703e-05,0.07404640181074379
29,0.6378582771803113,127,45,100,1.8889457033685306e-05,0.07973228464753891
30,0.6279123073139464,404,43,27,2.9002304919379237e-05,0.0784890384142433
